state,county,2008D,2012D,2016D,2020D,2008R,2012R,2016R,2020R,2008O,2012O,2016O,2020O
SD,Corson,980,893,652,630,778,739,566,744,26,33,40,81
SD,Custer,1779,1609,1298,969,3268,3231,3198,3706,140,138,262,572
SD,Davison,3570,3376,2853,2150,4471,4789,5039,6983,205,200,372,840
SD,Day,1847,1786,1328,964,1529,1460,1507,2162,52,53,108,241
SD,Deuel,1321,1234,805,367,1271,1295,1242,1830,70,60,110,201
SD,Dewey,1351,1411,1068,1151,834,834,675,969,34,25,67,143
SD,Douglas,930,788,563,407,1424,1475,1318,1757,28,24,39,72
SD,Edmunds,1085,916,641,360,1434,1409,1342,1812,46,47,78,159
SD,Fall River,1517,1419,1054,770,2600,2452,2467,2922,111,120,200,419
SD,Faulk,915,783,560,426,961,936,797,1082,32,30,40,68
SD,Grant,1969,1823,1343,750,2060,2110,2207,3221,91,85,168,350
SD,Gregory,991,867,613,464,1609,1638,1534,2040,38,40,75,165
SD,Haakon,889,783,561,480,1215,1147,948,1024,23,16,24,36
SD,Hamlin,1265,1202,784,420,1880,1907,1905,2623,70,69,120,239
SD,Hand,1014,860,594,339,1430,1395,1325,1782,32,28,65,145
SD,Hanson,1247,1062,716,253,1826,1821,1530,1519,47,33,64,105
SD,Harding,939,798,574,415,860,826,644,790,20,18,27,50
SD,Hughes,3230,3051,2713,2359,4943,5302,5276,6701,245,198,435,998
SD,Hutchinson,1426,1233,925,595,2240,2483,2430,3527,57,52,118,259
SD,Hyde,884,784,558,479,835,765,554,580,11,13,15,32
SD,Jackson,844,779,541,501,968,874,701,765,14,15,34,87
SD,Jerauld,943,797,555,345,782,735,593,818,16,14,35,85
SD,Jones,917,794,569,443,817,774,540,556,13,10,25,59
SD,Kingsbury,1518,1397,974,506,1553,1565,1566,2285,71,67,128,261
SD,Lake,3167,2959,2605,2164,3357,3469,3708,5142,177,163,364,884
SD,Lawrence,4673,4215,3859,3059,6609,7142,7318,9322,500,419,909,2434
SD,Lincoln,8379,8007,8066,7846,13373,14389,14863,17611,991,481,1399,2914
SD,Lyman,881,840,577,560,1153,1116,947,1146,28,27,54,121
SD,McCook,1366,1209,873,554,1732,1771,1726,2415,80,63,130,241
SD,McPherson,973,781,584,403,1064,1090,892,1170,13,17,35,91
SD,Marshall,1533,1368,993,543,1029,1030,963,1484,57,42,96,181
SD,Meade,3578,3196,2760,1930,7291,7753,8266,10869,526,404,733,1509
SD,Mellette,898,802,545,392,834,754,562,615,19,13,29,60
SD,Miner,907,789,557,441,797,803,638,910,36,26,55,101
SD,Minnehaha,37519,33059,33240,32612,32006,38701,38479,54815,2317,1403,5388,18071
SD,Moody,1832,1720,1325,970,1676,1665,1638,2245,69,69,123,249
SD,Pennington,16082,15382,14968,13981,24902,27929,28351,35902,1868,998,3091,10652
SD,Perkins,979,783,579,372,1335,1344,1241,1682,60,65,76,117
SD,Potter,931,776,568,429,1170,1186,1019,1326,29,15,36,62
SD,Roberts,2743,2639,2043,1328,1772,1923,1979,3118,85,77,160,336
SD,Sanborn,859,762,548,510,934,871,747,982,26,33,46,99
SD,Oglala Lakota,2737,3029,2716,3397,801,723,570,732,25,28,109,303
SD,Spink,1730,1600,1204,811,1610,1736,1746,2748,84,77,137,259
SD,Stanley,932,791,563,398,1296,1243,1103,1336,34,37,65,141
SD,Sully,928,795,569,424,860,808,634,769,21,18,31,61
SD,Todd,2088,2176,1797,1929,706,718,536,810,28,23,92,238
SD,Tripp,1093,1006,689,496,1957,2009,1984,2745,55,50,78,137
SD,Turner,1811,1709,1282,888,2564,2752,2793,3978,100,93,209,472
SD,Union,3318,3113,2659,2071,4972,4912,5021,5678,198,166,297,569
SD,Walworth,1149,970,692,410,1826,1850,1807,2454,63,60,95,175
SD,Yankton,4701,4519,3888,2965,4816,5435,5534,7738,294,275,564,1432
SD,Ziebach,855,756,556,553,807,760,555,639,18,9,32,71
TN,Anderson,9535,10265,10028,11954,19430,20116,19901,20543,1037,641,1140,1473
TN,Bedford,4565,4518,4023,3801,10601,10562,11114,12260,301,179,350,504
TN,Benton,1823,2322,1892,2864,4302,4025,4364,5089,128,112,129,137
TN,Bledsoe,1388,1468,1130,1313,3617,3266,3473,3893,98,58,117,166
TN,Blount,14077,13888,13283,12820,37380,38021,37887,39375,1793,1029,1936,1802
TN,Bradley,8595,8532,7912,7361,28239,28239,29118,32809,1149,546,1311,1411
TN,Campbell,2211,3207,2814,5055,9123,9162,9551,10631,275,181,321,495
TN,Cannon,1713,1775,1451,1702,3838,3520,3775,4314,122,87,148,207
TN,Carroll,3052,3563,2972,3673,7719,7603,7689,8063,219,156,260,386
TN,Carter,4610,4962,4280,4509,15982,16773,17087,19160,440,324,517,781
TN,Cheatham,4888,4927,4494,4595,10939,10975,11237,12052,427,290,527,876
TN,Chester,1701,1807,1466,1689,5033,4903,4942,5319,113,105,150,233
TN,Claiborne,2333,2570,2271,3057,7872,7966,8226,9217,199,144,253,401
TN,Clay,1143,1234,903,1096,2109,1930,1986,2396,67,39,65,80
TN,Cocke,2817,3000,2512,2728,9332,9125,9600,10578,236,213,313,492
TN,Coffee,5743,6040,5619,6449,13573,13943,14303,15630,450,261,521,679
TN,Crockett,1751,1849,1551,1895,4249,3959,3969,4083,78,43,91,128
TN,Cumberland,6797,6651,6140,5919,18342,19596,19984,22664,461,274,520,709
TN,Davidson,162897,140639,150145,143138,86487,94284,85327,91712,14893,8349,22611,18570
TN,Decatur,1239,1452,1122,1613,3525,3081,3394,3857,96,75,99,118
TN,DeKalb,2311,2389,2033,2342,4710,4391,4812,5641,145,98,178,259
TN,Dickson,6020,6399,5756,6266,12167,12226,12919,14575,438,268,508,726
TN,Dyer,3582,3898,3427,4016,10046,10318,10174,10432,227,146,271,434
TN,Fayette,6818,6857,6244,5487,12361,12913,12856,13346,275,233,363,599
TN,Fentress,1582,1737,1375,1686,5514,5448,5673,6515,128,90,160,236
TN,Franklin,5271,5716,5220,6123,10872,10897,11308,12328,346,285,406,618
TN,Gibson,6125,6671,6104,6955,13373,13485,13749,14492,343,160,379,465
TN,Giles,3862,3977,3552,3872,7435,7296,7658,8512,190,151,221,332
TN,Grainger,1769,1872,1499,1718,5986,5790,6223,7208,153,121,193,289
TN,Greene,6070,6461,5345,4670,17627,18628,18762,20492,481,392,564,803
TN,Grundy,1486,1787,1353,1840,3179,2696,3229,4024,98,73,109,141
TN,Hamblen,5637,5561,5037,4965,15531,15834,16113,17516,465,206,534,666
TN,Hamilton,63005,59414,57094,58184,79283,85324,79970,83832,9215,4498,13764,14033
TN,Hancock,821,758,548,602,1822,1694,1740,2278,54,42,56,70
TN,Hardeman,5779,5845,4913,3756,5397,5164,5048,5013,118,106,146,209
TN,Hardin,2091,2552,2067,2820,7696,8046,7823,8323,189,140,259,408
TN,Hawkins,4900,5276,4450,4418,15257,15660,16395,18642,361,267,442,616
TN,Haywood,4888,4835,4196,3417,3364,3206,3105,3316,78,51,91,132
TN,Henderson,2653,2744,2283,2343,7952,7787,7994,8494,182,144,232,370
TN,Henry,4357,4569,3873,3780,8648,8482,9037,10051,260,243,331,520
TN,Hickman,2821,2928,2468,2692,5339,5050,5407,6152,183,158,248,394
TN,Houston,1477,1607,1182,1292,2138,1801,1982,2338,82,54,98,141
